"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Andrew Benintendi","KCR","131","556","495","134","28","3","17","68","69","47","108","4","10","5","",".270",".336",".444",".781",".332","109","","1.9","","192.7","","3.53","0.23","0.47","17901"
"AJ Pollock","LAD","112","441","402","109","23","1","21","59","67","30","89","6","7","2","",".271",".328",".492",".820",".348","119","","1.9","","221.3","","1.96","-1.10","0.50","9256"
"Eduardo Escobar","NYM","142","590","537","131","25","4","24","71","80","45","120","3","2","1","",".244",".304",".436",".740",".315","98","","1.9","","194.0","","2.46","-0.31","0.70","6153"
"Nathaniel Lowe","TEX","144","596","517","134","25","2","19","75","72","72","150","3","6","1","",".259",".352",".427",".779",".339","116","","1.9","","245.3","","1.57","0.12","0.21","19566"
"Jesús Sánchez","MIA","130","527","479","122","20","4","23","61","71","41","139","5","3","1","",".256",".319",".454",".773",".330","110","","1.9","","223.8","","2.93","-1.08","0.39","19913"
"Max Stassi","LAA","103","385","339","77","13","1","15","45","45","35","113","7","0","0","",".226",".307",".405",".712",".309","94","","1.9","","297.8","","2.36","0.25","0.42","10059"
"Julio Rodríguez","SEA","68","298","268","72","14","1","9","38","34","25","65","3","7","2","",".270",".337",".437",".774",".333","116","","1.9","","267.6","","2.89","1.58","1.23","sa3005720"
"Jeff McNeil","NYM","125","501","451","125","26","2","12","59","55","35","67","11","3","2","",".277",".342",".420",".762",".331","108","","1.9","","321.4","","2.05","-0.25","0.82","15362"
"Nico Hoerner","CHC","117","444","399","109","21","2","5","49","43","34","70","6","10","4","",".272",".336",".373",".709",".311","95","","1.8","","428.3","","3.16","-0.68","1.28","21479"
"Jazz Chisholm Jr.","MIA","131","556","503","120","21","5","21","75","62","44","161","6","23","7","",".239",".306",".426",".731",".315","100","","1.8","","79.7","","4.90","0.86","1.42","20454"
"Franmil Reyes","CLE","144","590","526","134","23","1","36","77","97","54","176","3","3","1","",".255",".324",".506",".830",".349","122","","1.8","","124.2","","3.61","-0.76","1.07","14566"
"Kyle Lewis","SEA","122","515","457","111","19","1","20","61","61","53","145","2","6","2","",".244",".324",".424",".747",".323","109","","1.8","","307.8","","3.44","0.35","0.31","19508"
"Mark Canha","NYM","136","573","480","115","23","3","18","78","64","71","126","17","9","2","",".239",".353",".410",".763",".336","111","","1.8","","277.0","","2.68","0.19","0.62","11445"
"Ryan Mountcastle","BAL","145","612","560","147","28","2","32","77","88","40","155","5","4","2","",".263",".315",".489",".803",".339","114","","1.8","","113.0","","1.19","-0.08","0.71","18373"
"Jonathan Schoop","DET","140","597","552","145","26","2","22","73","74","31","123","8","2","1","",".263",".309",".440",".749",".320","102","","1.8","","197.6","","1.26","-0.73","0.45","11265"
"Brian Anderson","MIA","118","482","425","105","20","1","16","55","57","45","118","10","5","1","",".247",".332",".413",".745",".325","106","","1.8","","433.1","","2.62","-0.07","0.33","18289"
"Robbie Grossman","DET","136","574","489","118","23","3","17","74","57","75","123","6","16","4","",".241",".347",".403",".750",".329","108","","1.7","","185.8","","2.39","0.75","0.97","5254"
"Bobby Dalbec","BOS","132","515","459","109","22","3","31","66","79","47","171","8","3","1","",".238",".318",".501",".819",".347","116","","1.7","","221.3","","4.02","-0.28","0.94","19966"
"César Hernández","WSN","134","581","520","134","24","2","14","71","59","53","117","5","2","1","",".258",".331",".397",".728",".318","96","","1.7","","378.4","","3.32","-0.33","0.36","10556"
"Austin Hays","BAL","132","552","508","131","26","3","22","74","69","32","113","7","6","3","",".257",".308",".448",".756",".323","103","","1.7","","236.5","","1.60","-1.48","0.11","19363"
"Christian Vázquez","BOS","115","442","407","104","20","1","10","48","47","30","81","2","6","3","",".255",".307",".385",".692",".301","85","","1.7","","202.1","","4.61","0.44","0.71","9774"
