playerid,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,WHIP,K/9,BB/9,ERA,FIP,WAR,RA9-WAR,ADP
4026,Héctor Santiago,,0,22,22.0,1.0,1.0,0.0,0.0,0.0,21.0,11.0,4.0,21.0,10.0,1.4,8.59,3.96,4.62,4.85,0.0,0.0,999.0
13360,Cam Bedrosian,,0,35,35.0,2.0,2.0,0.0,0.0,1.0,35.0,19.0,6.0,31.0,15.0,1.44,8.08,3.89,4.85,4.98,0.0,-0.1,999.0
22052,Aaron Fletcher,SEA,0,18,18.0,1.0,1.0,0.0,0.0,1.0,18.0,8.0,2.0,15.0,7.0,1.41,7.43,3.72,4.25,4.58,0.0,0.1,999.0
7196,Greg Holland,,0,52,52.0,2.0,3.0,0.0,0.0,0.0,50.0,26.0,8.0,51.0,24.0,1.43,8.76,4.18,4.55,4.62,0.0,0.0,600.2
3237,T.J. McFarland,STL,0,55,55.0,3.0,3.0,0.0,0.0,10.0,59.0,25.0,6.0,36.0,19.0,1.43,5.87,3.15,4.09,4.42,0.0,0.1,999.0
21446,Ryan Feltner,COL,8,22,50.0,1.694915254237288,4.23728813559322,1.694915254237288,0.0,0.847457627118644,59.32203389830508,33.89830508474576,10.16949152542373,38.983050847457626,22.033898305084744,1.62,6.92,3.99,6.14,5.75,0.0,-0.16949152542372883,999.0
13528,Matt Bowman,NYY,0,14,14.0,1.0,1.0,0.0,0.0,1.0,15.0,8.0,2.0,11.0,6.0,1.5,7.37,4.08,4.83,4.95,0.0,0.0,999.0
16110,Daniel Ponce de Leon,,0,18,18.0,1.0,1.0,0.0,0.0,1.0,17.0,9.0,3.0,18.0,9.0,1.41,9.19,4.25,4.73,4.94,0.0,0.0,600.6
sa873657,Cam Vieaux,PIT,0,8,8.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,1.0,7.0,4.0,1.46,7.7,4.12,4.84,5.07,0.0,-0.1,999.0
22296,Joe Barlow,TEX,0,66,66.0,3.0,3.0,0.0,24.0,4.0,60.0,33.0,10.0,71.0,34.0,1.42,9.68,4.66,4.45,4.62,0.0,0.1,229.5
19535,Ryan Hendrix,CIN,0,38,38.0,2.0,2.0,0.0,0.0,1.0,37.0,20.0,6.0,39.0,18.0,1.46,9.2,4.33,4.79,4.79,0.0,0.0,999.0
sa877364,Daniel Duarte,CIN,0,24,24.0,1.0,1.0,0.0,0.0,1.0,24.0,13.0,4.0,24.0,12.0,1.48,8.82,4.34,4.94,4.96,0.0,0.0,999.0
17755,Drew Smith,NYM,0,60,60.0,3.0,3.0,0.0,0.0,12.0,57.0,30.0,10.0,58.0,24.0,1.35,8.63,3.6,4.52,4.7,0.0,-0.2,999.0
17585,Jordan Yamamoto,NYM,5,27,43.0,1.7551020408163265,2.63265306122449,1.7551020408163265,0.0,0.8775510204081632,43.87755102040816,23.693877551020407,7.8979591836734695,36.857142857142854,16.6734693877551,1.41,7.7,3.46,5.02,5.11,0.0,-0.17551020408163268,999.0
16300,Jesus Tinoco,TEX,0,6,6.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,5.0,3.0,1.53,7.49,4.36,5.03,5.13,-0.1,-0.1,999.0
20515,Kyle Nelson,ARI,0,10,10.0,0.0,1.0,0.0,0.0,1.0,10.0,5.0,1.0,10.0,5.0,1.5,8.73,4.85,4.73,4.84,-0.1,-0.1,999.0
20206,Mike Baumann,BAL,2,44,48.0,1.8823529411764706,2.8235294117647056,0.9411764705882353,0.0,0.9411764705882353,48.94117647058823,26.35294117647059,7.529411764705882,41.411764705882355,21.647058823529413,1.46,7.65,4.05,4.89,5.06,-0.09411764705882353,0.0,999.0
sa917985,Jace Vines,KCR,0,33,33.0,1.0,2.0,0.0,0.0,1.0,34.0,17.0,4.0,26.0,16.0,1.51,7.09,4.27,4.64,4.71,-0.1,0.1,999.0
12385,Nick Tropeano,,0,18,18.0,1.0,1.0,0.0,0.0,1.0,18.0,10.0,3.0,16.0,7.0,1.4,7.94,3.4,4.79,4.95,-0.1,0.0,999.0
sa3007235,Robert Broom,CLE,0,22,22.0,1.0,1.0,0.0,0.0,1.0,21.0,11.0,3.0,20.0,10.0,1.42,8.23,4.05,4.5,4.7,-0.10000000000000002,0.0,999.0
18282,Jarlín García,SFG,0,58,58.0,3.0,3.0,0.0,0.0,12.0,56.0,27.0,8.0,53.0,22.0,1.35,8.26,3.39,4.22,4.33,-0.1,0.1,601.0
18555,Logan Allen,CLE,3,47,57.0,2.80327868852459,3.737704918032787,0.9344262295081968,0.0,5.60655737704918,57.0,28.9672131147541,8.40983606557377,51.39344262295082,23.360655737704917,1.39,8.06,3.63,4.49,4.68,-0.09344262295081968,0.18688524590163935,599.8
14677,Duane Underwood Jr.,PIT,0,60,60.0,3.0,3.0,0.0,0.0,12.0,60.0,31.000000000000004,8.0,53.0,25.0,1.41,7.96,3.68,4.59,4.59,-0.1,-0.1,999.0
19695,Connor Seabold,BOS,5,11,27.0,1.6363636363636365,1.6363636363636365,0.8181818181818182,0.0,0.8181818181818182,30.27272727272727,16.363636363636363,4.909090909090909,20.454545454545453,9.818181818181818,1.47,6.86,3.35,5.46,5.31,-0.08181818181818182,0.08181818181818182,999.0
17611,Taylor Clarke,KCR,0,44,44.0,2.0,2.0,0.0,0.0,4.0,45.0,23.0,7.0,38.0,17.0,1.4,7.69,3.41,4.66,4.72,-0.10000000000000002,0.10000000000000002,999.0
sa3004589,Jared Solomon,CIN,0,4,4.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,3.0,3.0,1.76,7.04,5.99,6.19,6.23,-0.1,-0.1,999.0
15046,Trevor Gott,MIL,0,54,54.0,3.0,3.0,0.0,0.0,9.0,52.0,28.0,9.0,54.0,23.0,1.39,8.98,3.86,4.6,4.69,-0.1,0.0,999.0
