"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Yandy Díaz","TBR","130","560","482","130","23","1","13","68","62","69","91","3","2","1","",".269",".361",".407",".769",".336","","-0.9","-1.0","","2.3","","406.7","16578"
"Nico Hoerner","CHC","131","567","509","141","27","3","7","61","56","44","84","8","12","6","",".277",".342",".380",".722",".315","","2.7","-0.5","","2.3","","428.3","21479"
"Mike Zunino","TBR","86","339","305","61","12","1","20","43","50","26","120","5","1","0","",".201",".275",".445",".719",".306","","1.9","-0.5","","2.3","","240.6","13265"
"Nathaniel Lowe","TEX","146","630","545","142","26","2","23","80","79","76","155","4","6","1","",".261",".354",".441",".795",".343","","-1.7","-0.2","","2.3","","245.3","19566"
"Myles Straw","CLE","130","560","495","132","23","2","4","67","40","56","108","3","26","6","",".266",".342",".347",".688",".307","","3.7","2.8","","2.3","","129.2","17620"
"Jean Segura","PHI","139","602","549","154","28","3","13","77","60","38","84","8","10","4","",".281",".334",".416",".750",".324","","0.1","0.6","","2.3","","199.6","5933"
"Tyler Stephenson","CIN","112","443","388","103","21","0","12","55","50","43","87","6","1","0","",".265",".345",".413",".758",".330","","1.3","-0.6","","2.3","","137.5","17988"
"Rhys Hoskins","PHI","123","532","447","106","26","1","28","75","78","72","130","8","4","2","",".238",".351",".490",".841",".359","","0.0","-1.0","","2.3","","133.7","16472"
"Willson Contreras","CHC","141","574","494","118","23","1","24","72","75","58","153","16","5","3","",".239",".336",".436",".772",".334","","-0.2","-1.8","","2.3","","108.6","11609"
"Brandon Belt","SFG","128","553","473","116","24","3","25","75","70","69","137","6","4","2","",".245",".346",".464",".810",".347","","1.8","-1.4","","2.2","","230.9","10264"
"Josh Bell","WSN","147","637","553","147","29","2","31","87","105","74","122","4","0","1","",".267",".355",".496",".851",".360","","-4.1","-2.3","","2.2","","128.4","13145"
"Gio Urshela","NYY","138","595","553","149","30","2","20","69","76","33","124","4","2","0","",".270",".314",".436",".750",".322","","-4.1","-1.5","","2.2","","275.0","10681"
